Date,Weight (kg),Body Fat (%),Calories,Carbs (g),Fat (g),Protein (g),H2O (mL),Steps,Sleep total (h),Deep Sleep (h),Sleep Quality,Gym ,Bachata,Training (h),Training Volume (Kg),Observations
22/09/2025,73.70,21.90,--,--,--,--,--,11305,5:39,0:46,Good :),None,0,,,
23/09/2025,73.90,21.90,--,--,--,--,--,21552,6:45,1:32,OK :|,None,2,,,
24/09/2025,73.40,21.50,--,--,--,--,--,17711,7:37,1:10,Good :),None,1,,,
25/09/2025,73.80,21.40,--,--,--,--,--,18506,6:54,2:05,Good :),None,2,,,
26/09/2025,72.90,20.90,--,--,--,--,--,15860,6:45,1:30,Good :),None,3,,,
27/09/2025,72.90,20.70,--,--,--,--,--,24046,--,--,,None,0,,,
28/09/2025,72.30,21.00,--,--,--,--,--,17249,6:54,2:01,OK :|,None,2,,,
29/09/2025,73.10,19.60,--,--,--,--,--,16813,6:04,0:47,OK :|,None,0,--,--,
30/09/2025,72.90,20.60,--,--,--,--,--,20395,5:40,1:29,OK :|,None,2,--,--,
1/10/2025,72.60,20.80,--,--,--,--,--,16711,5:20,1:13,OK :|,None,1,--,--,
2/10/2025,73.10,20.60,--,--,--,--,--,15720,7:11,1:50,Good :),None,2,--,--,
3/10/2025,73.30,20.00,--,--,--,--,--,21347,5:20,1:31,Bad : (,None,3,--,--,
4/10/2025,72.70,21.20,--,--,--,--,--,18537,4:41,1:01,Bad : (,Workout,0,0:29,2636,
5/10/2025,72.70,21.30,--,--,--,--,--,8437,--,--,Bad : (,None,2,--,--,
6/10/2025,72.40,21.30,--,--,--,--,--,19918,6:24,2:04,OK :|,Workout,0,,2456,
7/10/2025,72.50,21.20,--,--,--,--,--,16654,7:07,1:20,Bad : (,None,2,--,--,
8/10/2025,73.30,19.90,--,--,--,--,--,20969,7:06,1:03,OK :|,None,1,--,--,
9/10/2025,72.80,20.40,1011,29,56,87,--,15881,6:52,1:17,OK :|,None,2,--,--,
10/10/2025,72.50,20.90,1207,56,41,162,--,14643,--,--,,None,3,--,--,
11/10/2025,72.20,22.00,1786,82,135,125,--,26341,--,--,,Workout,0,,3363,
12/10/2025,72.20,21.70,2291,274,41,221,--,14984,6:25,1:14,OK :|,None,1,--,--,
13/10/2025,71.90,21.30,1796,98,65,148,--,17727,6:05,2:03,OK :|,Workout,0,0:27,3295,
14/10/2025,72.60,19.70,1405,89,40,138,--,18505,6:38,1:57,OK :|,None,2,--,--,No tablet
15/10/2025,72.50,19.50,1560,124,39,152,--,16652,7:50,2:16,OK :|,Workout,1,0:29,1688,No tablet
16/10/2025,72.00,19.60,1329,95,33,128,--,19967,7:05,1:28,OK :|,None,2,--,--,No tablet
17/10/2025,71.80,20.60,2014,139,92,129,--,20575,7:13,1:22,OK :|,Workout,3,0:48,3590,No tablet from here
18/10/2025,72.90,21.50,--,--,--,--,--,13264,4:14,1:12,,None,0,--,--,travel to St. Johan to visit Dama
19/10/2025,--,--,--,--,--,--,--,6651,4:39,1:23,,None,0,--,--,
20/10/2025,--,--,--,--,--,--,--,6190,7:17,1:47,,None,0,--,--,travel back
21/10/2025,72.10,19.30,1690,166,45,157,--,17175,9:15,1:30,OK :|,None,2,--,--,
22/10/2025,71.90,19.70,1725,145,57,160,--,14660,7:12,0:29,Bad : (,Workout,1,0:39,5450,horrible sleep
23/10/2025,71.60,20.70,1870,134,67,174,--,18182,7:07,2:13,OK :|,None,2,--,--,wake up anxiety
24/10/2025,71.60,20.10,1757,156,47,191,--,20771,7:21,2:18,,Workout,3,0:39,3473,wake up anxiety
25/10/2025,71.30,19.60,1920,158,72,166,--,22070,7:06,2:53,,None,0,--,--,less anxiety
26/10/2025,71.30,18.40,2325,178,79,227,--,12768,6:40,1:53,OK :|,None,1,--,--,takycardy
27/10/2025,71.10,18.90,2310,234,72,180,--,19153,6:10,0:59,OK :|,Workout,0,0:55,5019,less takycardy
28/10/2025,70.70,19.30,2342,188,94,174,--,20292,7:49,1:49,OK :|,None,2,--,--,even less takycardy
29/10/2025,70.90,19.20,2230,165,99,164,--,21074,6:49,1:44,OK :|,Workout,1,0:33,4302,almost no takycardy
30/10/2025,70.60,19.20,2422,154,108,209,--,15021,7:16,1:42,,None,2,--,--,almost no takycardy
31/10/2025,70.90,18.50,1561,113,60,136,--,19317,6:47,1:07,OK :|,None,0,--,--,almost no takycardy
1/11/2025,71.80,16.60,1819,132,60,192,--,15471,3:20,0:55,OK :|,None,0,--,--,"dinner out, not know calories"
2/11/2025,71.90,17.60,2274,172,80,218,1750,15523,9:00,3:24,Good :),Workout,1,1:15,4160,post-halloween party recovery
3/11/2025,71.50,18.80,2115,175,77,182,1250,18958,6:51,1:19,OK :|,Workout,0,1:25,6853,started sleep monitoring at 2 AM
4/11/2025,70.80,19.30,2465,214,95,186,1250,18765,7:44,1:59,Good :),None,2,--,--,very good sleeping
5/11/2025,70.90,19.10,2545,203,81,163,750,15814,7:36,2:05,Good :),Workout,1,0:47,4443,very well rested!
6/11/2025,71.00,19.20,2163,195,85,146,1000,9275,7:07,1:01,Good :),None,0,--,--,well rested!
7/11/2025,71.20,17.30,1187,128,29,98,1000,25590,6:08,1:36,,None,3,--,--,"small taquicardy, some sad"
8/11/2025,71.30,16.60,2007,154,76,175,750,18606,8:21,2:37,OK :|,Workout,0,--,--,"dinner out Transi, not know calories"
9/11/2025,70.70,18.30,826,59,23,94,750,22122,--,--,,None,0,--,--,"not much leeping, very little calories counted. LOVE"
10/11/2025,69.60,17.60,2173,195,72,193,1500,22913,6:50,2:10,Good :),Workout,0,1:12,8222,"took a long nap, after meeting Transi"
11/11/2025,69.90,18.30,2401,210,86,201,1750,25475,6:45,2:33,Good :),None,2,--,--,super nice sleep
12/11/2025,70.10,18.70,3190,332,106,222,1750,21595,7:05,1:45,Good :),None,1,--,--,probably more cal that entered
13/11/2025,70.40,18.20,2685,231,106,191,1750,11583,6:05,1:33,Good :),Workout,0,0:44,7397,"deep sleep, could have more"
14/11/2025,69.90,18.50,2292,185,97,201,1750,23213,7:49,2:15,Good :),None,3,--,--,"no more podcasts, sleeping without audios"
15/11/2025,69.80,18.30,2355,206,82,179,1750,11742,6:42,1:17,Good :),Workout,0,0:56,8044,no audios before sleeping here
